NF;Série;CD;CIA;Emissão;Cód. do cliente;Cliente;Código do vendedor;Vendedor;Trecho atual;Transportadora;Valor do frete;Peso;Valor da NF;Volume;Embarque;Romaneio;Data de entrega;Data de baixa;Telefone;Previsão de entrega;Limite de entrega;Status
1434378;4;CD01;CD01;10/05/2024 00:00;1041437;MIX VALI COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;702;Emilio - R. E. Pagli;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;83,192;1.620,37;20;10/05/2024 15:02;428189;15/05/2024 16:10;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434373;4;CD01;CD01;10/05/2024 00:00;1038006;MIX VALI COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;702;Emilio - R. E. Pagli;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;358,925;5.688,85;45;10/05/2024 15:02;428189;15/05/2024 16:47;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;16/05/2024 23:30;16/05/2024 23:30;Entregue sem ocorrência
1434372;4;CD01;CD01;10/05/2024 00:00;1037124;SUPERMERCADO PONTO NOVO LTDA;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;77,881;1.633,28;15;10/05/2024 15:02;428189;15/05/2024 16:37;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434370;4;CD01;CD01;10/05/2024 00:00;1034354;SUPERMERCADO PONTO NOVO GUACU LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;131,976;2.849,72;25;10/05/2024 15:02;428189;15/05/2024 16:45;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;16/05/2024 23:30;17/05/2024 00:30;Entregue sem ocorrência
1434369;4;CD01;CD01;10/05/2024 00:00;1033741;SOLDIE COMERCIO DE PRODUTOS ALIMENT LTDA;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;189,283;3.085,32;35;10/05/2024 15:02;428189;15/05/2024 16:55;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434368;4;CD01;CD01;10/05/2024 00:00;1033039;SODIE COMERCIO DE PRODUTOS ALIMENTI LTDA;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;162,563;2.170,65;18;10/05/2024 15:02;428189;15/05/2024 16:54;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434367;4;CD01;CD01;10/05/2024 00:00;1032616;REDE DE DISTRIBUICAO ZEFERINO LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;1.006,20;16.037,62;226;10/05/2024 15:02;428189;15/05/2024 16:43;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;16/05/2024 23:30;17/05/2024 00:30;Entregue com ocorrência
1434366;4;CD01;CD01;10/05/2024 00:00;1032522;DINIZ & LUIZ LTDA;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;120,493;2.439,57;16;10/05/2024 15:02;428189;15/05/2024 16:52;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;16/05/2024 23:30;16/05/2024 23:30;Entregue sem ocorrência
1434365;4;CD01;CD01;10/05/2024 00:00;1031211;SERRANO AUTO SERVIÇO LTDA ;658;Gustavo-Guga Bem;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;65,455;1.112,82;21;10/05/2024 15:02;428189;16/05/2024 10:56;17/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue sem ocorrência
1434364;4;CD01;CD01;10/05/2024 00:00;1029887;B A BARBOSA SUPERMERCADO LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;60,678;1.305,20;12;10/05/2024 15:02;428189;15/05/2024 16:13;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;17/05/2024 23:30;20/05/2024 00:30;Entregue com ocorrência
